,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
85,Daily Observations,A0055135794,"4/29/2024 4/21Elizabeth and I took Spanky out for DFAD yesterday and he did great! No pre-enrichment but had him “sit” for a treat before I opened his kennel and then again while leashing him - we made it outside without any leash biting! Peed as soon as outside. Needed a boost going in/out of the car but was very relaxed in the car, laying down or sitting to look out the window. Would recommend keeping windows mostly up or securing his harness with a seatbelt as he had an instinct to jump out when the car was still. When the door was opened, he waited for help. Benefitted from some activity and stimulation before being relax-on-the-patio-ready (so many exciting new smells and sights!) We walked around The Works and he would stop and sniff occasionally. He particularly enjoyed walking through tall sea-like grass, which must have felt good and was sweet to watch! Friendly and affectionate with everyone he met and, as time went on, did great at keeping his paws on the ground when greeting people - and even, with cuing, sitting for a treat or pet! There were a couple of instances when brief leash biting occurred (always following a 10-15 min stretch of time where he wasn’t otherwise engaged); ignored it, showed him the treat, and repeated “sit” and he dropped it and resumed walking. Engaging with him more regularly (via affection, commands, or having him find a thrown treat) prevented further leash biting. Was well-behaved in a pet store and sat nicely for a treat from the employee; picked out a squeaker toy (which he carried in his mouth the rest of the walk) and enjoyed a pup cup! Was pet by a man who was holding his young daughter in his other arm and Spanky ignored the child, enjoying attention from dad. It was fun being out with him and seeing him so much more at ease outside of the shelter! Observing his behavior out of the shelter has me even more confident that being in a home where he can decompress and has regular interaction and stimulation will do wonders at eliminating any OA and leash biting! He’s just a super smart pup who needs opportunities to use his brain!",In Shelter Volunteer Observation,4/29/2024,10:08 PM
86,Daily Observations,A0055135794,"4/29/2024 4/28Spanky boy did great yesterday! Since he moved to 300, walked through steps for taking him out of the kennel with tech Jennifer and he didn’t bite at the leash at all until we were already outside and Jennifer and I were busy talking (aka a bored Spanky) but he responded immediately to the leash being dropped and subsequent redirection (“sit” and then “find it” with treats). Went out to pee and for an easy walk around the parking lot before going inside for an hour or so of play and belly rubs. He alternated between brief bursts of play and rest or walking around the office curiously. He is so sweet and loved giving kisses to all! After more than an hour of indoor time, took him outside and he peed right away and for a while (again, suspect he is potty or easily trained) Given reports of him being difficult to handle, Erica and Lauren R took a video (posted above) to illustrate the step-by-step approach. As depicted, he was easy to leash and responsive to “sit,” “down,” “find it,” and dropping the leash/ignoring the pulling. We had Megan from adoptions join, practicing the same approach, and, with redirection repeated at the start and “find it” every few steps until in the main hallway, he was responsive and stopped biting! *If you try the pull the leash away from him, he will think you are playing and tug back harder. Instead, the leash can be dropped if in an enclosed area (he’s not a runner) or ignored while repeating commands until he responds. Spanky is so sweet, smart, and just a puppy! ",In Shelter Volunteer Observation,4/29/2024,10:13 PM
87,Focus Group,A0055785509,"5/2/2024 We visited Chocolate Chip inside her kennel.  She backed into the wall inside her kennel.  Tossed treats she accepted them from a distance as we sat on her bed and the floor.  She did come up and sniff me briefly and then added space between us.  So timid, would benefit from a volunteer advocate.",Staff Observation,5/2/2024,05:44 PM
88,Write Up,A0055111834,"5/4/2024 Noppy bit my hand when leash biting, she is very leash bitey when coming out of kennel, I had a toy for her since I knew she leash bites a little and that slightly helped her for a second but she didn’t care too much about the toy, I harnessed the slip lead but she was very anxious to get out of the 303 kennel room and she was being very leash bitey while I reached for the toy on the ground to take it on the walk which is when the bite happened, it was accidental and happened  just because she is flipping around so wildly and got my hand, another volunteer was there right after it happened and she was pretty out of control leash biting as I was waiting a minute to have the other volunteer grab the toy. Decided to put Noppy back in kennel instead of walking. Suggestion to not harness her initially and let her get her initial energy out and maybe also scatter a lot of treats to let her calm down as you initially walk, she has gotten significantly more leash bitey since I last walked her about 3 weeks ago. ",In Shelter Volunteer Observation,5/4/2024,09:35 AM
89,Intake,A0055857982,5/6/2024 Easily handled ,Staff Observation,5/6/2024,02:24 PM
90,Write Up,A0053603468,5/12/2024 Was biting at kennel staff member and leash when being taken out. ,Staff Observation,5/12/2024,12:32 PM
91,Intake,A0055905913,5/13/2024 Easily handled,Staff Observation,5/13/2024,12:11 PM
92,Intake,A0055909108,5/13/2024 Easily handled ,Staff Observation,5/13/2024,03:46 PM
93,Intake,A0055923266,5/15/2024 easily handled in intake kennel & during examcalm & sweet,Staff Observation,5/15/2024,05:33 PM
94,Intake,A0055941918,5/18/2024 easily handled in intake kennel & during exam,Staff Observation,5/18/2024,08:44 AM
95,Intake,A0055952142,5/19/2024 A little nervous in the kennel but was easy to get out. Easily handled during the exam.,Staff Observation,5/19/2024,07:59 AM
96,Intake,A0055954982,5/20/2024 Easily handled until the dappv shot then tried to bite so muzzled to give shot. doesn't like to be vetted ,Staff Observation,5/20/2024,05:57 PM
97,Daily Observations,A0055675268,"5/21/2024 pacing, salivating, wide eyes, panting",Staff Observation,5/21/2024,10:38 AM
98,Write Up,A0053603468,"5/24/2024 kennel tech De'Erica is reporting that she is trying to bite her. Leveling up to LB, will try to assess nature of behavior",Staff Observation,5/24/2024,05:57 PM
99,Write Up,A0055952142,"5/25/2024 Moved to L2-SF/A from L1. Was observed barking and growling in the kennel at Dennis C. Wide eyed, snarling, hackles up but also backing away from the gate when he walked by. I asked him to wait a moment and explained the dog was showing defensive aggression and not offensive. She was still snarling at the  door but I cracked it open and she jumped down and ran to the back with hackles still up. I crouched down and she slowly came and sniffed my hand then loosened up and solicited attention. Dennis was still standing in front of her kennel door but he was looming over her. She would side eye him and growl in-between soliciting attention from me. I asked him to crouch too and to not stare directly at her. She sniffed his hand briefly then ran back to me. Demonstrating some SF/A behaviors. Unclear if it's specific to men or if she was anxious and fearful in that moment with new people. Moved to L2-SF/A. GO SLOW. Made no attempts to actually bite despite fear. ",Staff Observation,5/25/2024,10:36 AM
100,General Information,A0055111834,"5/28/2024 She needs a formal dog test but vol notes in Asana from March & April: "" she is really good and also walked past dogs well in side yard and was wagging tail so I think she is a young friendly dog and would be dog friendly """"Happy tail wags when she saw other dogs. "" ",In Shelter Volunteer Observation,5/28/2024,09:44 AM
